statistic	untranslated_matched_frame_score	untranslated_max_frame_score	untranslated_start_region_score	untranslated_window_max_score	untranslated_phylop_mean	untranslated_length
count	20082.0	20082.0	17915.0	15995.0	20082.0	20266.0
null_count	290.0	290.0	2457.0	4377.0	290.0	106.0
mean	NaN	NaN	NaN	NaN	NaN	158.368054870226
std	NaN	NaN	NaN	NaN	NaN	213.98668646125122
min	-111.7030029296875	-55.18106644948323	-83.86780014038087	-68.81793279647827	-14.583239979147912	0.0
25%	-23.979126924780054	-18.55135252896477	-25.459667237599692	-12.366800373792648	-0.16016130269535125	37.0
50%	-17.16612503609874	-12.154799938201904	-14.785999997456868	-4.858499979972839	0.9877777734978331	94.0
75%	-9.652399826049805	-5.210984561726585	-5.670800018310547	1.5477000951766968	2.457730234643921	202.0
max	48.79349899291992	55.304500579833984	56.8447998046875	70.03720054626464	11.059000015258789	5140.0
