statistic	untranslated_matched_frame_score	untranslated_max_frame_score	untranslated_start_region_score	untranslated_window_max_score	untranslated_phylop_mean	untranslated_length
count	1987.0	1987.0	1981.0	1961.0	1987.0	1987.0
null_count	6.0	6.0	12.0	32.0	6.0	6.0
mean	NaN	NaN	NaN	NaN	1.167084497091438	2047.319577252139
std	NaN	NaN	NaN	NaN	1.5666307836419535	4382.634310495337
min	-45.46576616611887	-30.30767049598794	-59.52086588541667	-35.35930004119873	-7.757568578657211	2.0
25%	-23.595451633689027	-22.278723313199276	-25.8257999420166	-6.674000144004822	0.1628708067269105	420.0
50%	-20.503653236682403	-19.33973500433439	-17.72499968210856	-1.3125998497009277	0.8776719064979168	1144.0
75%	-16.837794805071464	-15.57569124247398	-9.886799907684326	2.6544000148773192	1.875403343099183	2529.0
max	3.575000047683716	6.0320000648498535	23.180400371551514	39.44560041427612	8.696478809439526	119495.0
