statistic	candidate_frame_score	untranslated_frame_score	candidate_phylop	untranslated_phylop	candidate_window_max	untranslated_window_max	candidate_length	untranslated_length
count	38762.0	38728.0	38762.0	38728.0	27686.0	38176.0	38762.0	38762.0
null_count	27.0	61.0	27.0	61.0	11103.0	613.0	27.0	27.0
mean	NaN	NaN	NaN	NaN	NaN	NaN	73.00227026469223	8398.171198596563
std	NaN	NaN	NaN	NaN	NaN	NaN	63.537521475765146	28584.44891055419
min	-106.51849746704102	-67.74816695849101	-12.037516132838302	-11.814980961595262	-62.46696707407634	-49.177533864974976	6.0	0.0
25%	-28.69293679509844	-25.596367145071223	-0.23796774716784938	-0.35226489610405626	-22.5307999715209	-7.446099865436554	24.0	617.0
50%	-23.46169828611707	-21.708599983056548	0.41851516899116564	-0.05722221781340531	-16.445600175857543	0.9199999637073941	54.0	1918.0
75%	-17.04259778619155	-17.616283666007458	1.3775714194136006	0.21738496007124125	-10.141700077056885	5.184000015258789	102.0	5475.0
max	33.45949983596802	33.36900091171265	11.039833386739096	11.75100040435791	34.22876631418864	59.265198707580566	300.0	1096444.0
