statistic	untranslated_matched_frame_score	untranslated_max_frame_score	untranslated_start_region_score	untranslated_window_max_score	untranslated_phylop_mean	untranslated_length
count	909.0	909.0	838.0	734.0	909.0	1572.0
null_count	670.0	670.0	741.0	845.0	670.0	7.0
mean	NaN	NaN	NaN	NaN	0.9301618388070824	79.91284987277353
std	NaN	NaN	NaN	NaN	2.452500240212178	151.34459746028395
min	-93.76914119720459	-93.76914119720459	-66.92479973435402	-48.262700700759886	-10.859729173593223	0.0
25%	-21.6598602223334	-21.6598602223334	-22.20219955444336	-10.999099725484848	-0.4732040758529792	0.0
50%	-14.604439863860607	-14.604439863860607	-13.04580020904541	-4.145999956130981	0.7610119004689512	23.0
75%	-7.845699912309646	-7.845699912309646	-4.215799999237061	0.698099997639656	2.1951935585708386	96.0
max	6.9649999141693115	6.9649999141693115	29.156799936294554	30.143100440502167	10.09000015258789	1414.0
