statistic	untranslated_matched_frame_score	untranslated_max_frame_score	untranslated_start_region_score	untranslated_window_max_score	untranslated_phylop_mean	untranslated_length
count	20184.0	20184.0	18007.0	16083.0	20184.0	20371.0
null_count	188.0	188.0	2365.0	4289.0	188.0	1.0
mean	NaN	NaN	NaN	NaN	NaN	158.33714594276177
std	NaN	NaN	NaN	NaN	NaN	213.6492802411314
min	-117.0999984741211	-117.0999984741211	-95.44899940490723	-62.803499412536624	-14.583239979147912	0.0
25%	-23.870535601902816	-23.870535601902816	-25.201999378204345	-12.12259995341301	-0.1584864784334157	37.0
50%	-16.98440291499024	-16.98440291499024	-14.64820032119751	-4.79320011138916	0.9875927504628256	94.0
75%	-9.734580025337637	-9.734580025337637	-5.627800035476684	1.4050001621246337	2.4560000179335475	202.0
max	55.304500579833984	55.304500579833984	56.8447998046875	70.03720054626464	11.059000015258789	5140.0
