statistic	untranslated_matched_frame_score	untranslated_max_frame_score	untranslated_start_region_score	untranslated_window_max_score	untranslated_phylop_mean	untranslated_length
count	20082.0	20082.0	17915.0	15995.0	20082.0	20266.0
null_count	290.0	290.0	2457.0	4377.0	290.0	106.0
mean	NaN	NaN	NaN	NaN	NaN	158.368054870226
std	NaN	NaN	NaN	NaN	NaN	213.98668646125122
min	-62.949478589970134	-62.949478589970134	-86.99099998474121	-51.40826606750488	-14.583239979147912	0.0
25%	-18.599907284356828	-18.599907284356828	-19.31873327891032	-8.282036860783895	-0.16016130269535125	37.0
50%	-12.115745939467041	-12.115745939467041	-9.904800097147623	-1.3951000154018403	0.9877777734978331	94.0
75%	-5.04020003080368	-5.04020003080368	-1.1776666382948557	4.343533531824748	2.457730234643921	202.0
max	55.304500579833984	55.304500579833984	68.49439811706543	70.03720054626464	11.059000015258789	5140.0
