statistic	matched_frame_score	max_frame_score	start_region_score	window_max_score	phylop_mean	extension_length
count	982.0	982.0	982.0	741.0	982.0	982.0
null_count	1011.0	1011.0	1011.0	1252.0	1011.0	1011.0
mean	NaN	NaN	NaN	NaN	1.2970187787248466	140.39613034623218
std	NaN	NaN	NaN	NaN	2.0845113759456595	505.01359667740354
min	-54.06100006103516	-37.469165643056236	-61.39500122070312	-44.947700881958006	-12.925452380277038	6.0
25%	-24.82704476456144	-20.149353925759595	-26.66419997215271	-17.405699944496156	0.03748979884418374	30.0
50%	-19.364648145106102	-15.241221277207304	-17.946600516637165	-10.623400127887725	0.8252059855104166	60.0
75%	-13.489385240828549	-9.987600231170655	-10.2120667775472	-4.243599987030029	2.2036666381690235	117.0
max	22.446939284753316	22.446939284753316	35.354733022054035	32.995600032806394	9.872833410898844	9194.0
