statistic	untranslated_matched_frame_score	untranslated_max_frame_score	untranslated_start_region_score	untranslated_window_max_score	untranslated_phylop_mean	untranslated_length
count	1020.0	1020.0	1012.0	987.0	1020.0	1987.0
null_count	973.0	973.0	981.0	1006.0	973.0	6.0
mean	NaN	NaN	NaN	NaN	1.2502927933564074	848.9214896829391
std	NaN	NaN	NaN	NaN	1.6682033573333641	1621.3001986725671
min	-47.98434788247813	-32.531499934196475	-58.628333282470706	-35.46520006656647	-7.79453198129769	0.0
25%	-23.80665071446205	-22.412079123577268	-25.814533233642578	-7.169400143623352	0.17253553136405203	0.0
50%	-20.520776976967692	-19.332529410294125	-17.79673318862915	-2.0334000468254088	0.9125461941398233	26.0
75%	-16.702596574974958	-15.547132482959164	-10.397066831588745	2.059999942779541	2.0125638267327948	1029.0
max	20.885787532664835	20.885787532664835	23.180400371551514	46.89930019378662	8.948601931553215	18057.0
